id,tiene_alto_valor_adquisitivo
222,[0.02252129]
223,[0.04062977]
224,[0.50177354]
225,[0.8861891]
226,[0.27444717]
227,[0.93825626]
228,[0.52348584]
229,[0.02559966]
230,[0.19928667]
231,[0.01999581]
232,[0.71606815]
233,[0.23469266]
234,[0.40385085]
235,[0.07485145]
236,[0.0884198]
237,[0.6598681]
238,[0.02741295]
239,[0.02748972]
240,[0.15722513]
241,[0.01823887]
242,[0.55022806]
243,[0.02121305]
244,[0.13454965]
245,[0.02372882]
246,[0.22721443]
247,[0.13988453]
248,[0.0488736]
249,[0.3974043]
250,[0.15427828]
251,[0.02575538]
252,[0.07137233]
253,[0.46954086]
254,[0.3027277]
255,[0.04676712]
256,[0.02184227]
257,[0.3239589]
258,[0.02950335]
259,[0.02267277]
260,[0.09042132]
261,[0.63590235]
262,[0.09262931]
263,[0.03700772]
264,[0.02566963]
265,[0.07288316]
266,[0.20637327]
267,[0.22372687]
268,[0.11796457]
269,[0.01874015]
270,[0.14926353]
271,[0.51724243]
272,[0.21905854]
273,[0.5441334]
274,[0.16161245]
275,[0.17563593]
276,[0.01781288]
277,[0.03352061]
278,[0.01859057]
279,[0.9383033]
280,[0.04805854]
281,[0.32743913]
282,[0.11718962]
283,[0.02258357]
284,[0.03364125]
285,[0.50388587]
286,[0.03830838]
287,[0.01906326]
288,[0.4259644]
289,[0.32268393]
290,[0.04722077]
291,[0.58523905]
292,[0.1578989]
293,[0.18135476]
294,[0.03860232]
295,[0.05183858]
296,[0.04272416]
297,[0.04585063]
298,[0.02186969]
299,[0.93877673]
300,[0.2576982]
301,[0.26753095]
302,[0.04229081]
303,[0.03700876]
304,[0.02390093]
305,[0.02182123]
306,[0.12692401]
307,[0.05757403]
308,[0.02804202]
309,[0.756697]
310,[0.33453405]
311,[0.72029877]
312,[0.0188396]
313,[0.2265948]
314,[0.4264028]
315,[0.45929262]
316,[0.05458036]
317,[0.02317885]
318,[0.02461231]
319,[0.7125726]
320,[0.20518157]
321,[0.03088364]
322,[0.77971673]
323,[0.24670261]
324,[0.08563751]
325,[0.01952675]
326,[0.6213636]
327,[0.13780391]
328,[0.02058065]
329,[0.16612604]
330,[0.93840003]
331,[0.01961118]
332,[0.0199981]
333,[0.28229654]
334,[0.13892788]
335,[0.7506372]
336,[0.02347466]
337,[0.02702162]
338,[0.03105077]
339,[0.27396667]
340,[0.19355893]
341,[0.13275221]
342,[0.08286539]
343,[0.04920444]
344,[0.73110527]
345,[0.9365735]
346,[0.08532974]
347,[0.9391793]
348,[0.39205188]
349,[0.01814765]
350,[0.04577258]
351,[0.03540817]
352,[0.01948431]
353,[0.03420541]
354,[0.05951694]
355,[0.34140602]
356,[0.6766978]
357,[0.09008285]
358,[0.9391793]
359,[0.12051114]
360,[0.03498071]
361,[0.2267384]
362,[0.06454793]
363,[0.03156644]
364,[0.07923773]
365,[0.39935416]
366,[0.6676171]
367,[0.49835658]
368,[0.422021]
369,[0.30336565]
370,[0.01994264]
371,[0.36569697]
372,[0.0331102]
373,[0.10367864]
374,[0.60599685]
375,[0.02457404]
376,[0.51775706]
377,[0.704906]
378,[0.02358794]
379,[0.08567229]
380,[0.02924603]
381,[0.3909068]
382,[0.05595922]
383,[0.6621472]
384,[0.03737533]
385,[0.4054818]
386,[0.09861591]
387,[0.03839231]
388,[0.03777024]
389,[0.23766431]
390,[0.7466818]
391,[0.20730785]
392,[0.02297473]
393,[0.24408785]
394,[0.02179891]
395,[0.07844463]
396,[0.02792493]
397,[0.7559453]
398,[0.09192434]
399,[0.71546733]
400,[0.7303045]
401,[0.10320166]
402,[0.05064085]
403,[0.0191797]
404,[0.06620106]
405,[0.33271253]
406,[0.02609307]
407,[0.06390828]
408,[0.02447575]
409,[0.02512181]
410,[0.55534655]
411,[0.03082862]
412,[0.22094983]
413,[0.04126909]
414,[0.02482828]
415,[0.37637976]
416,[0.21270993]
417,[0.09739006]
418,[0.27354228]
419,[0.9391793]
420,[0.3398434]
421,[0.07041091]
422,[0.03128168]
423,[0.03188607]
424,[0.0610024]
425,[0.04062697]
426,[0.04986867]
427,[0.03387973]
428,[0.02513731]
429,[0.027942]
430,[0.0187977]
431,[0.47322312]
432,[0.02067581]
433,[0.18242595]
434,[0.03191036]
435,[0.01962301]
436,[0.6782672]
437,[0.4204319]
438,[0.02848798]
439,[0.52936023]
440,[0.7289934]
441,[0.17574453]
442,[0.3623704]
443,[0.0275355]
444,[0.48144785]
445,[0.0208579]
446,[0.7730764]
447,[0.5073356]
448,[0.08754399]
449,[0.02776021]
450,[0.05133089]
451,[0.15491953]
452,[0.1548304]
453,[0.76839536]
454,[0.05873728]
455,[0.04910707]
456,[0.02427694]
457,[0.04325885]
458,[0.63481987]
459,[0.01984948]
460,[0.18600684]
461,[0.09022078]
462,[0.24391869]
463,[0.6126057]
464,[0.07928184]
465,[0.09466434]
466,[0.02773988]
467,[0.7661945]
468,[0.21956065]
469,[0.22667423]
470,[0.01862469]
471,[0.01986903]
472,[0.06342968]
473,[0.03331935]
474,[0.300695]
475,[0.05835441]
476,[0.07284188]
477,[0.22685349]
478,[0.02431893]
479,[0.17887756]
480,[0.04690421]
481,[0.42943966]
482,[0.02711415]
483,[0.02463853]
484,[0.9390681]
485,[0.07270184]
486,[0.04762539]
487,[0.01954973]
488,[0.03202456]
489,[0.07175004]
490,[0.09571615]
491,[0.04160231]
492,[0.03716391]
493,[0.3175139]
494,[0.16252404]
495,[0.0708119]
496,[0.50083125]
497,[0.0193896]
498,[0.08616513]
499,[0.02738345]
500,[0.11261302]
501,[0.15573877]
502,[0.22074401]
503,[0.42776045]
504,[0.05926239]
505,[0.24681917]
506,[0.15657416]
507,[0.02299371]
508,[0.9380988]
509,[0.02569526]
510,[0.18940637]
511,[0.02044368]
512,[0.03046176]
513,[0.02180374]
514,[0.01996714]
515,[0.02864182]
516,[0.041803]
517,[0.02154511]
518,[0.03827098]
519,[0.7732896]
520,[0.06224892]
521,[0.10044268]
522,[0.15071926]
523,[0.2839307]
524,[0.02346203]
525,[0.63355315]
526,[0.05475676]
527,[0.7064322]
528,[0.5946363]
529,[0.14886338]
530,[0.9381592]
531,[0.10973945]
532,[0.03147319]
533,[0.04469138]
534,[0.1059244]
535,[0.28333604]
536,[0.57565343]
537,[0.05301952]
538,[0.6474397]
539,[0.43005392]
540,[0.01908121]
541,[0.14610514]
542,[0.6576042]
543,[0.14833423]
544,[0.01980191]
545,[0.7553077]
546,[0.3644719]
547,[0.72158134]
548,[0.26534328]
549,[0.20593533]
550,[0.23983908]
551,[0.02037203]
552,[0.0211058]
553,[0.7141646]
554,[0.8976368]
555,[0.2893143]
556,[0.19289106]
557,[0.2772901]
558,[0.72349596]
559,[0.72098476]
560,[0.02974907]
561,[0.03869107]
562,[0.02373451]
563,[0.5518041]
564,[0.0769875]
565,[0.03801966]
566,[0.04005533]
567,[0.3615318]
568,[0.03593627]
569,[0.58763313]
570,[0.02168745]
571,[0.55291724]
572,[0.06187123]
573,[0.2803106]
574,[0.03883019]
575,[0.72555774]
576,[0.89898753]
577,[0.27795893]
578,[0.32122627]
579,[0.750716]
580,[0.36503083]
581,[0.14971438]
582,[0.6363549]
583,[0.92428565]
584,[0.02315924]
585,[0.03394991]
586,[0.06924084]
587,[0.47185034]
588,[0.67994916]
589,[0.01871976]
590,[0.0264518]
591,[0.02455887]
592,[0.11128077]
593,[0.8150572]
594,[0.02121139]
595,[0.7767084]
596,[0.03387973]
597,[0.03049201]
598,[0.64460194]
599,[0.58764666]
600,[0.01951507]
601,[0.21599284]
602,[0.04033756]
603,[0.07284972]
604,[0.6823858]
605,[0.03836137]
606,[0.02936059]
607,[0.02844346]
608,[0.32267702]
609,[0.04330966]
610,[0.06462952]
611,[0.28770941]
612,[0.92605543]
613,[0.01890594]
614,[0.03030676]
615,[0.23864564]
616,[0.20687711]
617,[0.01974007]
618,[0.3651621]
619,[0.10035315]
620,[0.92488813]
621,[0.19642013]
622,[0.03695804]
623,[0.02986142]
624,[0.04152513]
625,[0.14333671]
626,[0.8170706]
627,[0.32667637]
628,[0.9317566]
629,[0.19665453]
630,[0.20916003]
631,[0.03988668]
632,[0.04419997]
633,[0.18522972]
634,[0.02060902]
635,[0.05954614]
636,[0.9276551]
637,[0.18725917]
638,[0.04031613]
639,[0.37406266]
640,[0.02114743]
641,[0.03528637]
642,[0.02367809]
643,[0.7758985]
644,[0.9382217]
645,[0.02411839]
646,[0.02980229]
647,[0.01937127]
648,[0.49355906]
649,[0.0560981]
650,[0.0249297]
651,[0.19473648]
652,[0.02291828]
653,[0.93298316]
654,[0.28981966]
655,[0.46656498]
656,[0.02095506]
657,[0.72216135]
658,[0.03120041]
659,[0.0633496]
660,[0.04698557]
661,[0.3455962]
662,[0.06134492]
663,[0.02711764]
664,[0.01949978]
665,[0.13242227]
666,[0.11348328]
667,[0.21709657]
668,[0.05892393]
669,[0.7824136]
670,[0.55903506]
671,[0.0197342]
672,[0.03193089]
673,[0.1077781]
674,[0.74049413]
675,[0.02279434]
676,[0.01989627]
677,[0.05310357]
678,[0.03003547]
679,[0.03603348]
680,[0.92894566]
681,[0.06935629]
682,[0.03059715]
683,[0.26064044]
684,[0.36524487]
685,[0.6322524]
686,[0.06143379]
687,[0.66166437]
688,[0.02424797]
689,[0.07253644]
690,[0.15879375]
691,[0.13459286]
692,[0.03347096]
693,[0.9391793]
694,[0.14323437]
695,[0.05275404]
696,[0.01950714]
697,[0.03314137]
698,[0.03356725]
699,[0.5258211]
700,[0.7570159]
701,[0.05291337]
702,[0.74531925]
703,[0.9391793]
704,[0.02656701]
705,[0.02883539]
706,[0.05112189]
707,[0.3724971]
708,[0.02785453]
709,[0.46225658]
710,[0.39141056]
711,[0.12956381]
712,[0.50587636]
713,[0.39010644]
714,[0.0347982]
715,[0.35188395]
716,[0.03082123]
717,[0.2082079]
718,[0.03230605]
719,[0.76990604]
720,[0.76142406]
721,[0.1534239]
722,[0.6455207]
723,[0.09276912]
724,[0.20406386]
725,[0.04898679]
726,[0.06516573]
727,[0.91719985]
728,[0.04978919]
729,[0.02024516]
730,[0.097289]
731,[0.16539565]
732,[0.3762695]
733,[0.4975148]
734,[0.02411553]
735,[0.02077338]
736,[0.20100996]
737,[0.23050511]
738,[0.440965]
739,[0.02637139]
740,[0.03168076]
741,[0.04758972]
742,[0.26064044]
743,[0.19188327]
744,[0.53201574]
745,[0.05372894]
746,[0.03054446]
747,[0.05049759]
748,[0.13460416]
749,[0.43973434]
750,[0.34363532]
751,[0.771444]
752,[0.6780919]
753,[0.03573215]
754,[0.06215215]
755,[0.21270022]
756,[0.43423742]
757,[0.04648444]
758,[0.07489604]
759,[0.6410217]
760,[0.4285869]
761,[0.16329959]
762,[0.22590569]
763,[0.12945402]
764,[0.02854869]
765,[0.01989514]
766,[0.01911944]
767,[0.03003713]
768,[0.02497977]
769,[0.01936334]
770,[0.3901302]
771,[0.0240854]
772,[0.02005082]
773,[0.02712214]
774,[0.02992919]
775,[0.5373541]
776,[0.51623935]
777,[0.7071154]
778,[0.03327519]
779,[0.10180521]
780,[0.1842075]
781,[0.02404749]
782,[0.505667]
783,[0.25644207]
784,[0.09520283]
785,[0.37000698]
786,[0.7825138]
787,[0.9295732]
788,[0.17091984]
789,[0.17609194]
790,[0.03058192]
791,[0.14391768]
792,[0.02888849]
793,[0.03578123]
794,[0.04435661]
795,[0.08356133]
796,[0.31978387]
797,[0.10797417]
798,[0.7122921]
799,[0.04888198]
800,[0.4321873]
801,[0.03269964]
802,[0.098645]
803,[0.27576214]
804,[0.19799608]
805,[0.23957658]
806,[0.12671438]
807,[0.09125435]
808,[0.7671351]
809,[0.03529033]
810,[0.07584414]
811,[0.40574062]
812,[0.09899539]
813,[0.04739553]
814,[0.2853266]
815,[0.05257654]
816,[0.7268708]
817,[0.06829309]
818,[0.02231866]
819,[0.02794191]
820,[0.10749489]
821,[0.03188321]
822,[0.0444774]
823,[0.03934845]
824,[0.07021287]
825,[0.47876456]
826,[0.03026283]
827,[0.03160432]
828,[0.01901576]
829,[0.9215094]
830,[0.7950536]
831,[0.13661245]
832,[0.03168496]
833,[0.40018678]
834,[0.16669208]
835,[0.19678378]
836,[0.03464341]
837,[0.10445714]
838,[0.11831355]
839,[0.03911257]
840,[0.22312829]
841,[0.11704144]
842,[0.02061841]
843,[0.02550098]
844,[0.4635174]
845,[0.03680491]
846,[0.04626694]
847,[0.5655976]
848,[0.4671937]
849,[0.708624]
850,[0.05352744]
851,[0.04745963]
852,[0.7838931]
853,[0.0186885]
854,[0.19761625]
855,[0.02076313]
856,[0.18016171]
857,[0.17053351]
858,[0.11722085]
859,[0.7185117]
860,[0.14573553]
861,[0.05155432]
862,[0.34969643]
863,[0.03962496]
864,[0.05245733]
865,[0.07175004]
866,[0.07367679]
867,[0.76496387]
868,[0.19906989]
869,[0.6980897]
870,[0.03828445]
871,[0.11860839]
872,[0.05239713]
873,[0.395453]
874,[0.23761427]
875,[0.03227136]
876,[0.31498635]
877,[0.10256904]
878,[0.02219939]
879,[0.7265471]
880,[0.659782]
881,[0.03344432]
882,[0.0732711]
883,[0.9391793]
884,[0.02104867]
885,[0.56155217]
886,[0.69785565]
887,[0.12879089]
888,[0.74237907]
889,[0.18000361]
890,[0.6958883]
891,[0.13383788]
892,[0.17571425]
893,[0.26032618]
894,[0.01814699]
895,[0.47036356]
896,[0.02340782]
897,[0.12005582]
898,[0.91528964]
899,[0.01998365]
900,[0.68969977]
901,[0.49738875]
902,[0.77460235]
903,[0.02981904]
904,[0.01824245]
905,[0.02701661]
906,[0.7132203]
907,[0.7179508]
908,[0.32204145]
909,[0.4758781]
910,[0.2798518]
911,[0.02950794]
912,[0.06404907]
913,[0.21263802]
914,[0.01826635]
915,[0.5656655]
916,[0.02317348]
917,[0.15326339]
918,[0.22757778]
919,[0.18274727]
920,[0.02339068]
921,[0.5499812]
922,[0.7148475]
923,[0.62329984]
924,[0.33431393]
925,[0.025581]
926,[0.08305728]
927,[0.05031672]
928,[0.06176892]
929,[0.21360958]
930,[0.03286269]
931,[0.03376108]
932,[0.6531799]
933,[0.12515152]
934,[0.01835397]
935,[0.22248453]
936,[0.4658352]
937,[0.02980399]
938,[0.5500661]
939,[0.02187881]
940,[0.02481499]
941,[0.22266811]
942,[0.52350324]
943,[0.02359724]
944,[0.5223196]
945,[0.0177795]
946,[0.71390593]
947,[0.11489427]
948,[0.0178687]
949,[0.16115445]
950,[0.24886844]
951,[0.03207451]
952,[0.03276584]
953,[0.19768572]
954,[0.01972535]
955,[0.386642]
956,[0.02361664]
957,[0.12042299]
958,[0.25282085]
959,[0.2878353]
960,[0.41501087]
961,[0.01851603]
962,[0.02963889]
963,[0.07292423]
964,[0.0192391]
965,[0.6610945]
966,[0.02291954]
967,[0.03334233]
968,[0.53061956]
969,[0.04605618]
970,[0.02742723]
971,[0.3080172]
972,[0.93820184]
973,[0.23019132]
974,[0.10540706]
975,[0.10720825]
976,[0.06604439]
977,[0.02481118]
978,[0.40667576]
979,[0.93896717]
980,[0.9388635]
981,[0.45535564]
982,[0.01908207]
983,[0.07202274]
984,[0.17620212]
985,[0.42796656]
986,[0.14045793]
987,[0.29260755]
988,[0.13678548]
989,[0.02347535]
990,[0.02316621]
991,[0.50793827]
992,[0.5329196]
993,[0.9391793]
994,[0.49254358]
995,[0.8579419]
996,[0.02339143]
997,[0.03517076]
998,[0.02119023]
999,[0.6649228]
1000,[0.15630233]
1001,[0.02123427]
1002,[0.41924185]
1003,[0.0193902]
1004,[0.04189384]
1005,[0.24349329]
1006,[0.21835405]
1007,[0.55033267]
1008,[0.0716435]
1009,[0.784603]
1010,[0.02823257]
1011,[0.0359529]
1012,[0.04040968]
1013,[0.70415294]
1014,[0.02483425]
1015,[0.22038141]
1016,[0.629907]
1017,[0.45967424]
1018,[0.34352976]
1019,[0.04671711]
1020,[0.52693963]
1021,[0.6407122]
1022,[0.02679971]
1023,[0.26012146]
1024,[0.14949653]
1025,[0.02014461]
1026,[0.92881536]
1027,[0.04012674]
1028,[0.14772007]
1029,[0.04653147]
1030,[0.06230778]
1031,[0.01995865]
1032,[0.49951315]
1033,[0.5079981]
1034,[0.13372013]
1035,[0.05285019]
1036,[0.02630231]
1037,[0.26064044]
1038,[0.05017728]
1039,[0.10393327]
1040,[0.03321469]
1041,[0.80970705]
1042,[0.55930007]
1043,[0.03385368]
1044,[0.02098694]
1045,[0.01994693]
1046,[0.78970826]
1047,[0.07760224]
1048,[0.227279]
1049,[0.01848853]
1050,[0.03458831]
1051,[0.43588457]
1052,[0.4412317]
1053,[0.77946615]
1054,[0.03190026]
1055,[0.5087626]
1056,[0.6619674]
1057,[0.02419984]
1058,[0.5337157]
1059,[0.04032287]
1060,[0.03652775]
1061,[0.1525729]
1062,[0.01902917]
1063,[0.01955324]
1064,[0.0254465]
1065,[0.05572909]
1066,[0.06803194]
1067,[0.6283903]
1068,[0.04973564]
1069,[0.8011845]
1070,[0.9131693]
1071,[0.1733878]
1072,[0.02334014]
1073,[0.19960782]
1074,[0.03497079]
1075,[0.93846494]
1076,[0.9377451]
1077,[0.03402606]
1078,[0.30107224]
1079,[0.6336662]
1080,[0.02951729]
1081,[0.02882835]
1082,[0.02248681]
1083,[0.5957433]
1084,[0.31110826]
1085,[0.03039548]
1086,[0.03004071]
1087,[0.93858933]
1088,[0.34457693]
1089,[0.02599078]
1090,[0.50300765]
1091,[0.5577162]
1092,[0.10276034]
1093,[0.02690056]
1094,[0.0762358]
1095,[0.02671608]
1096,[0.02291745]
1097,[0.4936288]
1098,[0.80517983]
1099,[0.8715544]
1100,[0.04809925]
1101,[0.0245716]
1102,[0.50044805]
1103,[0.25371334]
1104,[0.01713005]
1105,[0.01905015]
1106,[0.08072883]
1107,[0.04693794]
1108,[0.03771222]
1109,[0.17554843]
1110,[0.11753628]
1111,[0.9382812]
1112,[0.45046982]
1113,[0.72842]
1114,[0.90566206]
1115,[0.03805748]
1116,[0.40162894]
1117,[0.01916662]
1118,[0.10671547]
1119,[0.3216774]
1120,[0.24065328]
1121,[0.0366635]
1122,[0.7125402]
1123,[0.9316793]
1124,[0.19506541]
1125,[0.3118145]
1126,[0.14282504]
1127,[0.08120117]
1128,[0.25827074]
1129,[0.02894303]
1130,[0.04766464]
1131,[0.22608504]
1132,[0.9391793]
1133,[0.12235305]
1134,[0.02504992]
1135,[0.02477601]
1136,[0.02582291]
1137,[0.16644692]
1138,[0.08400083]
1139,[0.03822726]
1140,[0.04350019]
1141,[0.5659055]
1142,[0.28540373]
1143,[0.02948645]
1144,[0.13110042]
1145,[0.0660179]
1146,[0.02796894]
1147,[0.01980072]
1148,[0.02175027]
1149,[0.35542148]
1150,[0.0199593]
1151,[0.03036964]
1152,[0.5672188]
1153,[0.16088432]
1154,[0.3910476]
1155,[0.9391793]
1156,[0.15547198]
1157,[0.06050152]
1158,[0.9391793]
1159,[0.6297246]
1160,[0.02001846]
1161,[0.2790956]
1162,[0.34943283]
1163,[0.04292676]
1164,[0.070409]
1165,[0.04229918]
1166,[0.04507172]
1167,[0.05188867]
1168,[0.02754879]
1169,[0.26147568]
1170,[0.31568903]
1171,[0.7686002]
1172,[0.06043878]
1173,[0.1031099]
1174,[0.50444484]
1175,[0.02728069]
1176,[0.0338926]
1177,[0.01983926]
1178,[0.03463861]
1179,[0.05775505]
1180,[0.03013474]
1181,[0.07195231]
1182,[0.08021313]
1183,[0.46410933]
1184,[0.08977109]
1185,[0.1766589]
1186,[0.02811551]
1187,[0.1346882]
1188,[0.2154398]
1189,[0.14263323]
1190,[0.02043715]
1191,[0.765046]
1192,[0.02426761]
1193,[0.03876317]
1194,[0.04351276]
1195,[0.05645421]
1196,[0.03654549]
1197,[0.09616223]
1198,[0.0193834]
1199,[0.18729451]
1200,[0.2107122]
1201,[0.02606598]
1202,[0.03682443]
1203,[0.58813965]
1204,[0.06192172]
1205,[0.4804144]
1206,[0.01923683]
1207,[0.5720096]
1208,[0.06107348]
1209,[0.02819204]
1210,[0.02560028]
1211,[0.04843217]
1212,[0.49796906]
1213,[0.43435848]
1214,[0.01819304]
1215,[0.4892103]
1216,[0.03255814]
1217,[0.26915866]
1218,[0.06996143]
1219,[0.9224802]
1220,[0.04080155]
1221,[0.03379309]
1222,[0.18097657]
1223,[0.938107]
1224,[0.06364614]
1225,[0.03094035]
1226,[0.03712881]
1227,[0.9391793]
1228,[0.78321326]
1229,[0.19841444]
1230,[0.60347]
1231,[0.01979133]
1232,[0.20022395]
1233,[0.0205892]
1234,[0.67541164]
1235,[0.03144866]
1236,[0.03019604]
1237,[0.9389285]
1238,[0.13570717]
1239,[0.2428188]
1240,[0.6431726]
1241,[0.93225646]
1242,[0.34068102]
1243,[0.02588433]
1244,[0.03312099]
1245,[0.02738869]
1246,[0.7157898]
1247,[0.05168098]
1248,[0.03940576]
1249,[0.0348807]
1250,[0.7279399]
1251,[0.65915775]
1252,[0.01866737]
1253,[0.02451918]
1254,[0.11203721]
1255,[0.69583905]
1256,[0.03946787]
1257,[0.12001851]
1258,[0.25644207]
1259,[0.01942784]
1260,[0.0194104]
1261,[0.36004376]
1262,[0.23097226]
1263,[0.17549017]
1264,[0.27887172]
1265,[0.04265428]
1266,[0.03699237]
1267,[0.26102054]
1268,[0.02934998]
1269,[0.7167797]
1270,[0.05525407]
1271,[0.22173777]
1272,[0.03240559]
1273,[0.01961312]
1274,[0.72789204]
1275,[0.0236575]
1276,[0.05260196]
1277,[0.18234894]
1278,[0.2798518]
1279,[0.04339409]
1280,[0.05935237]
1281,[0.16329959]
1282,[0.9152515]
1283,[0.01791221]
1284,[0.03624597]
1285,[0.06257224]
1286,[0.03375691]
1287,[0.18264297]
1288,[0.01967192]
1289,[0.33722782]
1290,[0.5492501]
1291,[0.65566754]
1292,[0.03890401]
1293,[0.19011432]
1294,[0.03157911]
1295,[0.9386846]
1296,[0.06595701]
1297,[0.6252512]
1298,[0.18091023]
1299,[0.02135623]
1300,[0.04860991]
1301,[0.0403204]
1302,[0.14848328]
1303,[0.03274608]
1304,[0.02022764]
1305,[0.06362921]
1306,[0.01948121]
1307,[0.01923275]
1308,[0.3907619]
1309,[0.02030361]
1310,[0.02781928]
1311,[0.16441718]
1312,[0.27137855]
1313,[0.05185452]
1314,[0.11063185]
1315,[0.4446696]
1316,[0.12663776]
1317,[0.01946482]
1318,[0.13189799]
1319,[0.02000716]
1320,[0.7125725]
1321,[0.24077478]
1322,[0.11423311]
1323,[0.02149969]
1324,[0.7423488]
1325,[0.04050228]
1326,[0.1442945]
1327,[0.9374234]
1328,[0.02998596]
1329,[0.6831113]
1330,[0.6276347]
1331,[0.79976106]
1332,[0.15092728]
1333,[0.01789013]
1334,[0.04195234]
1335,[0.12495843]
1336,[0.1521635]
1337,[0.6336966]
1338,[0.02955332]
1339,[0.01923683]
1340,[0.09592134]
1341,[0.28571087]
1342,[0.4290882]
1343,[0.19872272]
1344,[0.9391793]
1345,[0.24809885]
1346,[0.8110744]
1347,[0.5731856]
1348,[0.04002327]
1349,[0.40598178]
1350,[0.02282643]
1351,[0.02194032]
1352,[0.37773255]
1353,[0.25069034]
1354,[0.0381501]
1355,[0.7162879]
1356,[0.08848903]
1357,[0.02926019]
1358,[0.52425945]
1359,[0.16381562]
1360,[0.8287605]
1361,[0.6738709]
1362,[0.07133046]
